rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,94.81,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,83.57,94.59,3706,神達,TWSE,電腦週邊,92.7,AI,3-5日延續,催化觀察,未明確,"法人占比 50.67% / 5日 29.33%；外資 +9,690 張，投信 +1 張，自營 +375 張；分點主力 +8,521 張，占比 42.89%；籌碼4日上升 1/3，20日報酬 4.86%，距60日高點 -10.43%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,整理待確認,業績成長,49.73,59.99,3,29.33,42.89,4.86,5.58,1.53,-10.43,12.0,11.51,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 3-5日延續
2,A,Y,91.68,early,早期起漲,Y,Y,early,早期起漲,Y,Y,continuation,強勢續攻,5,4,4,81.51,81.53,2408,南亞科,TWSE,半導體,512.0,存儲記憶體,5-10日波段,波段布局,未明確,"法人占比 -9.94% / 5日 12.92%；外資 -10,026 張，投信 +331 張，自營 -496 張；分點主力 +39,665 張，占比 31.71%；籌碼4日上升 1/3，20日報酬 34.38%，距60日高點 -5.54%；分點主力買超占比偏高",1,回踩承接,業績成長,719.61,690.36,3,12.92,31.71,34.38,64.9,1.22,-5.54,15.0,19.13,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 存儲記憶體；資金 未明確；訊號 5-10日波段
3,A,Y,91.61,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,77.15,86.63,6206,飛捷,TWSE,電腦週邊,143.0,存儲記憶體,5-10日波段,波段布局,未明確,法人占比 -27.62% / 5日 2.89%；外資 -991 張，投信 +0 張，自營 -163 張；分點主力 -882 張，占比 -21.11%；籌碼4日上升 2/3，20日報酬 22.22%，距60日高點 -10.06%,2,整理待確認,業績成長,38.19,36.57,3,2.89,-21.11,22.22,2.14,1.14,-10.06,6.0,19.15,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；資金 未明確；訊號 5-10日波段
4,A,Y,91.16,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,5,4,4,70.81,92.27,2890,永豐金,TWSE,金融業,40.55,AUTO:AI,3-5日延續,催化觀察,未明確,"法人占比 28.39% / 5日 21.53%；外資 -2,998 張，投信 +14,421 張，自營 -1,399 張；分點主力 +5,942 張，占比 16.83%；籌碼4日上升 1/3，20日報酬 4.18%，距60日高點 -2.22%；分點主力買超占比偏高",1,平台突破,業績成長,51.3,61.64,3,21.53,16.83,4.18,42.13,1.0,-2.22,13.0,10.84,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 強勢續攻；結構 平台突破；題材 AUTO:AI；資金 未明確；訊號 3-5日延續
5,A,Y,90.89,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,75.43,85.18,8046,南電,TWSE,電子零組件,1305.0,AI,待確認,一般觀察,①長線建倉,"法人占比 5.94% / 5日 -4.07%；外資 -927 張，投信 +2,467 張，自營 -195 張；分點主力 +2,983 張，占比 13.17%；籌碼4日上升 2/3，20日報酬 18.10%，距60日高點 -7.77%；外資方向與5日法人方向一致",2,回踩承接,業績成長,50.24,45.36,3,-4.07,13.17,18.1,39.72,1.89,-7.77,14.0,16.86,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 AI；資金 ①長線建倉；訊號 待確認
6,A,Y,90.75,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,72.08,88.64,4566,時碩工業,TWSE,電機機械,75.6,散熱,3-5日延續,催化觀察,未明確,法人占比 -19.61% / 5日 0.35%；外資 -790 張，投信 +0 張，自營 +0 張；分點主力 -363 張，占比 -9.01%；籌碼4日上升 2/3，20日報酬 13.51%，距60日高點 -5.50%,2,回踩承接,業績成長,31.91,28.75,3,0.35,-9.01,13.51,19.62,0.95,-5.5,5.0,13.39,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 散熱；資金 未明確；訊號 3-5日延續
7,A,Y,90.17,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,5,4,4,67.11,91.94,3029,零壹,TWSE,資訊服務,111.5,AI,3-5日延續,催化觀察,未明確,法人占比 44.34% / 5日 21.55%；外資 +866 張，投信 +0 張，自營 -8 張；分點主力 +607 張，占比 31.37%；籌碼4日上升 1/3，20日報酬 7.73%，距60日高點 -3.88%；外資方向與5日法人方向一致；分點主力買超占比偏高,1,回踩承接,業績成長,59.18,33.39,3,21.55,31.37,7.73,14.95,1.34,-3.88,4.0,11.78,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
8,A,Y,90.07,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,76.35,79.92,3231,緯創,TWSE,電腦週邊,193.5,AI,3-5日延續,催化觀察,未明確,"法人占比 -3.89% / 5日 9.33%；外資 -556 張，投信 -2,863 張，自營 -232 張；分點主力 +2,165 張，占比 2.31%；籌碼4日上升 1/3，20日報酬 34.84%，距60日高點 -6.07%",1,回踩承接,業績成長,60.76,51.28,3,9.33,2.31,34.84,33.91,0.9,-6.07,15.0,9.88,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
9,A,Y,89.86,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,5,4,4,76.44,78.74,2376,技嘉,TWSE,電腦週邊,397.5,AI,3-5日延續,催化觀察,未明確,"法人占比 37.10% / 5日 32.62%；外資 +5,116 張，投信 -4 張，自營 +48 張；分點主力 +4,764 張，占比 26.61%；籌碼4日上升 0/3，20日報酬 20.09%，距60日高點 -1.12%；外資方向與5日法人方向一致；分點主力買超占比偏高",0,平台突破,業績成長,59.67,44.4,3,32.62,26.61,20.09,23.26,1.64,-1.12,14.0,13.78,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 3-5日延續
10,A,Y,89.75,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,75.84,78.94,6446,藥華藥,TWSE,生技,1500.0,光學,3-5日延續,催化觀察,未明確,法人占比 12.15% / 5日 13.53%；外資 +448 張，投信 +12 張，自營 +5 張；分點主力 +464 張，占比 12.10%；籌碼4日上升 1/3，20日報酬 27.66%，距60日高點 -3.23%；外資方向與5日法人方向一致,1,回踩承接,業績成長,92.59,98.65,3,13.53,12.1,27.66,105.42,1.21,-3.23,12.0,19.43,新聞/題材有催化且風險不高 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 光學；資金 未明確；訊號 3-5日延續
