# theme|keywords(comma-separated)|codes(comma-separated)
AI|AI,人工智慧,伺服器,資料中心,GPU,ASIC,邊緣運算|2317,2382,3231,6669,3017,2356,2383
矽光子|矽光子,CPO,共同封裝光學,光通訊,光模組,高速傳輸|3163,3450,4908,4949,4979
CoPoS|CoPoS,Chip-on-Panel-on-Substrate,面板級封裝,扇出型面板級封裝,FOPLP,玻璃基板,TGV,化圓為方,面板級封裝設備,狹縫式塗佈,Slit Coater,RDL,暫時鍵合,雷射切割,AOI,防翹曲|2330,3711,6239,3481,2409,6116,3498,2467,3131,3583,6187,6640,3455,8027,8064,3580,3663,3149,3535,6664,5443,6937,7822,7734,3037,3189,8046,6789
低軌衛星|低軌,衛星,太空,Space,通訊衛星|3491,6141,6285,5388
CoWoS|CoWoS,先進封裝,封裝,Chiplet,2.5D封裝|3711,2330,6147,3037,2363
散熱|散熱,液冷,熱管,均熱板,散熱模組|3017,3324,3653,6230,2421
BBU|BBU,備援電池,鋰電池,電池備援,儲能模組|4931,6121,2308,3211
機器人|機器人,自動化,協作機器人,人形機器人,工業自動化|2049,2374,3019,1536,9945
重電|重電,變壓器,電網,配電,電力設備|1519,1503,1513,1514,4529
軍工|軍工,國防,航太,無人機,雷達|2634,4572,8033,8222,2208
